split,capture_id,pose_id,frame_id,tag_id,corner_index,observed_u_px,observed_v_px,predicted_u_px,predicted_v_px,residual_u_px,residual_v_px,radial_error_px,depth_m
training,capture_005,pose_005,capture_005_000,5,1,866.9285888671875,509.84490966796875,863.7011071236317,502.0162808464635,-3.2274817435558134,-7.828628821505276,8.467825436904635,0.3512302062009658
training,capture_005,pose_005,capture_005_000,5,2,800.8245849609375,537.6764526367188,794.9329254677558,530.9253942885756,-5.891659493181692,-6.751058348143147,8.96038171082188,0.3453243552416387
training,capture_005,pose_005,capture_005_000,5,3,765.5195922851562,485.51458740234375,759.0711962174972,476.7064669143664,-6.448396067659019,-8.808120487977362,10.91626302248745,0.3664157788964793
training,capture_006,pose_006,capture_006_000,1,0,892.2515258789062,347.2480773925781,893.9531897732272,347.85076163147727,1.7016638943209728,0.602684238899144,1.805239125726301,0.27065189094940134
training,capture_006,pose_006,capture_006_000,1,1,817.85400390625,411.7977294921875,817.4084212194732,413.3134764217783,-0.44558268677678825,1.5157469295908186,1.5798837569008726,0.27187024925621284
training,capture_006,pose_006,capture_006_000,1,2,802.6093139648438,384.7956237792969,802.0622354985662,385.62407761873624,-0.5470784662775259,0.8284538394393621,0.9927893091418695,0.24467788765040363
training,capture_006,pose_006,capture_006_000,1,3,886.0,310.0,887.0796067812305,312.711165967345,1.0796067812304955,2.711165967344982,2.9182137866456124,0.2434595293435921
training,capture_006,pose_006,capture_006_000,5,0,798.7295532226562,225.29617309570312,799.6529863702706,222.63035812925332,0.9234331476143325,-2.665814966449801,2.8212228223698794,0.25364278856263656
training,capture_006,pose_006,capture_006_000,5,1,869.769287109375,292.99237060546875,872.8338909682947,293.5321714844883,3.064603858919668,0.5398008790195377,3.11178113001149,0.24102965757405428
training,capture_006,pose_006,capture_006_000,5,2,787.0836181640625,365.68988037109375,787.0353990497613,367.2728955419866,-0.048219114301218724,1.5830151708928497,1.5837493849283453,0.2422480158808658
training,capture_006,pose_006,capture_006_000,5,3,720.6022338867188,294.54315185546875,718.4505193641115,293.06058308233946,-2.1517145226072216,-1.4825687731292874,2.6130223025946226,0.2548611468694481
training,capture_007,pose_007,capture_007_002,5,0,1061.6781005859375,454.62579345703125,1065.5437395453748,447.12905662760926,3.8656389594373195,-7.496736829421991,8.434703768024798,0.2258783773863868
training,capture_007,pose_007,capture_007_002,5,1,1114.3865966796875,568.6170654296875,1118.4623031867905,564.0464462246953,4.07570650710295,-4.5706192049922265,6.123883036855383,0.21380441386653518
training,capture_007,pose_007,capture_007_002,5,2,992.0679321289062,605.354736328125,991.9839795331598,599.6174399348671,-0.08395259574649572,-5.737296393257907,5.737910590312711,0.21915980597742984
training,capture_007,pose_007,capture_007_002,5,3,945.7691040039062,491.0841979980469,946.8951300724501,483.5505125599759,1.1260260685438652,-7.533685438070961,7.617371658705042,0.23123376949728153
training,capture_009,pose_009,capture_009_003,1,0,911.3597412109375,417.1572265625,912.5128862677277,408.6918047694419,1.1531450567902084,-8.465421793058113,8.543600508941351,0.22141984857498992
training,capture_009,pose_009,capture_009_003,1,1,821.2545776367188,494.3043518066406,820.6385353506175,488.1629317859188,-0.6160422861012194,-6.141420020721853,6.172240109489262,0.22732812621485107
training,capture_009,pose_009,capture_009_003,1,2,772.6272583007812,464.7894287109375,770.5497530847961,459.2042417032538,-2.077505215985184,-5.5851870076837145,5.95905544807603,0.20362737788379695
training,capture_009,pose_009,capture_009_003,1,3,870.5335693359375,377.806640625,871.9403947121866,369.3414976929559,1.4068253762491167,-8.465142932044103,8.581247141249033,0.1977191002439358
training,capture_009,pose_009,capture_009_003,5,0,776.2515258789062,276.81158447265625,774.6968431872128,263.96788220426595,-1.554682691693415,-12.843702268390302,12.937454395316928,0.21408930771127938
training,capture_009,pose_009,capture_009_003,5,1,847.9114990234375,355.4076843261719,850.2927654994821,346.62614095178685,2.3812664760446296,-8.781543374385024,9.098677599856998,0.19667188012054856
training,capture_009,pose_009,capture_009_003,5,2,750.7933959960938,442.96807861328125,749.0093499876117,437.6159188765105,-1.7840460084820506,-5.352159736770773,5.64166943451058,0.2025801577604097
training,capture_009,pose_009,capture_009_003,5,3,688.8796997070312,359.0686340332031,683.4623482112364,349.9737875794674,-5.417351495794833,-9.094846453735727,10.586025186349211,0.21999758535114053
training,capture_010,pose_010,capture_010_005,1,0,935.3695678710938,612.7640380859375,930.9284120619654,610.7575496204299,-4.441155809128304,-2.006488465507573,4.873382899297881,0.4152549111914803
training,capture_010,pose_010,capture_010_005,1,1,893.0,636.0,884.5948652459922,636.2575290310958,-8.405134754007804,0.25752903109582803,8.409079107422345,0.40044964062472055
training,capture_010,pose_010,capture_010_005,1,2,918.0,606.0,913.3034405510175,602.9153264749294,-4.696559448982498,-3.0846735250705706,5.618975121327561,0.37928871959767496
training,capture_010,pose_010,capture_010_005,1,3,960.0,584.0,961.0463524270031,577.2987182358324,1.0463524270030575,-6.701281764167561,6.782479685502927,0.3940939901644347
training,capture_010,pose_010,capture_010_005,3,0,875.292724609375,632.9990844726562,869.4098231740938,631.0804400042649,-5.8829014352811555,-1.918644468391335,6.1878692530888,0.4005262576098076
training,capture_010,pose_010,capture_010_005,3,1,834.3176879882812,578.6219482421875,828.4757796274857,575.8812860475489,-5.8419083607955145,-2.7406621946386167,6.452838333714389,0.4157912300870896
training,capture_010,pose_010,capture_010_005,3,2,857.3422241210938,544.3912353515625,853.0590592370534,540.5977867670599,-4.283164884040389,-3.7934485845025847,5.721516720865314,0.39463030906004404
training,capture_010,pose_010,capture_010_005,3,3,902.086669921875,600.2800903320312,897.2655819211379,597.4561943021049,-4.821088000737063,-2.8238960299263454,5.587242459271359,0.379365336582762
training,capture_010,pose_010,capture_010_005,5,0,916.697021484375,512.27392578125,913.53082407699,508.4054060625857,-3.1661974073849706,-3.868519718664288,4.999024988557842,0.40837630455008944
training,capture_010,pose_010,capture_010_005,5,1,961.4788208007812,563.9439086914062,958.5397585430627,562.0255675458884,-2.939062257718547,-1.918341145517843,3.50971789540589,0.39311133207280746
training,capture_010,pose_010,capture_010_005,5,2,916.1930541992188,589.0764770507812,910.5747361383931,587.1109901090136,-5.618318060825686,-1.9654869417676082,5.952195960387988,0.3783060615060477
training,capture_010,pose_010,capture_010_005,5,3,871.04052734375,534.2041015625,865.7330276328328,530.5007984100964,-5.307499710917227,-3.7033031524035778,6.471785489336674,0.3935710339833297
training,capture_011,pose_011,capture_011_004,3,0,980.1895751953125,672.08447265625,977.8331448091267,673.169477023765,-2.3564303861858207,1.0850043675150118,2.5942240925692035,0.35515869302636216
training,capture_011,pose_011,capture_011_004,3,1,945.531982421875,602.0025024414062,943.933895474612,600.4559165256273,-1.5980869472630275,-1.5465859157789055,2.223917688651749,0.3696445747442452
training,capture_011,pose_011,capture_011_004,3,2,971.707763671875,577.6328735351562,971.3324551085991,576.4288427343891,-0.3753085632758939,-1.2040308007671001,1.2611687781038985,0.3441476495522408
training,capture_011,pose_011,capture_011_004,3,3,1009.8804321289062,651.7349243164062,1009.0575011884591,653.7104757554382,-0.8229309404471223,1.9755514390319604,2.1400978531381307,0.3296617678343578
training,capture_011,pose_011,capture_011_004,5,0,1054.46240234375,550.1564331054688,1056.549106690766,548.6691644516636,2.0867043470159388,-1.4872686538051312,2.5624798692763506,0.3472828981432486
training,capture_011,pose_011,capture_011_004,5,1,1094.6060791015625,620.7586669921875,1097.628031809671,624.014420295742,3.021952708108529,3.2557533035544566,4.442085967611414,0.3327970164253656
training,capture_011,pose_011,capture_011_004,5,2,1028.68798828125,643.6425170898438,1026.808400444059,646.3617655446155,-1.8795878371909112,2.719248454771787,3.305625900868814,0.32646724260564397
training,capture_011,pose_011,capture_011_004,5,3,990.0256958007812,570.2412109375,987.9757210518236,568.6682706883432,-2.049974748957652,-1.5729402491567726,2.583899668869006,0.34095312432352703
training,capture_012,pose_012,capture_012_002,1,0,575.486572265625,318.49664306640625,577.514438633248,318.2907707953084,2.0278663676230053,-0.20587227109786,2.038289821625843,0.4305162532484091
training,capture_012,pose_012,capture_012_002,1,1,552.6808471679688,368.2767028808594,551.3947889330257,368.2214909753799,-1.2860582349430842,-0.055211905479495726,1.28724284351151,0.41567446600656743
training,capture_012,pose_012,capture_012_002,1,2,543.0050048828125,331.81109619140625,542.2354631661567,330.48110845304626,-0.7695417166557945,-1.3299877383599892,1.536574709495593,0.39048751109463864
training,capture_012,pose_012,capture_012_002,1,3,568.0,280.0,570.3135580290734,278.82964399681254,2.3135580290734197,-1.1703560031874645,2.5927367641330314,0.40532929833648024
training,capture_012,pose_012,capture_012_002,3,0,537.3935546875,373.6859130859375,536.9538205320738,373.7837536335242,-0.4397341554262084,0.09784054758671346,0.4504874029320562,0.4143230678627859
training,capture_012,pose_012,capture_012_002,3,1,481.3011779785156,356.301513671875,478.6310314638821,355.48217712437304,-2.6701465146335295,-0.8193365475019618,2.7930260986396136,0.42105646624193827
training,capture_012,pose_012,capture_012_002,3,2,467.8190002441406,319.6859436035156,464.9666808488679,317.4443587738534,-2.8523193952727297,-2.2415848296622016,3.62773048629866,0.3958695113300094
training,capture_012,pose_012,capture_012_002,3,3,526.9970092773438,337.5110168457031,526.8279899785196,336.2723248703705,-0.16901929882419608,-1.2386919753326424,1.2501701216748489,0.38913611295085704
training,capture_012,pose_012,capture_012_002,5,0,498.6702575683594,256.4326477050781,498.35824146375364,251.74847656287665,-0.3120161046057319,-4.684171142201478,4.694551452371828,0.4089871039601698
